120.0,127.42,134.38,140.45,145.24,148.47,149.92,149.52,147.28,143.34,137.95,131.45,124.23,116.75,109.48,102.85,97.3,93.15,90.67,90.02,91.23,94.23,98.83,104.75
118.9,126.32,133.28,139.35,144.14,147.37,148.82,148.42,146.18,142.24,136.85,130.35,123.13,115.65,108.38,101.75,96.2,92.05,89.57,88.92,90.13,93.13,97.73,103.65
115.72,123.14,130.1,136.17,140.96,144.19,145.64,145.24,143.0,139.06,133.67,127.17,119.95,112.47,105.19,98.57,93.01,88.87,86.39,85.74,86.95,89.95,94.55,100.47
110.81,118.23,125.19,131.26,136.05,139.28,140.73,140.33,138.08,134.15,128.76,122.26,115.04,107.56,100.28,93.66,88.1,83.96,81.48,80.83,82.04,85.04,89.64,95.56
104.7,112.13,119.09,125.15,129.95,133.17,134.63,134.22,131.98,128.05,122.66,116.15,108.94,101.46,94.18,87.56,82.0,77.86,75.38,74.73,75.94,78.94,83.54,89.46
98.09,105.51,112.47,118.53,123.33,126.56,128.01,127.61,125.36,121.43,116.04,109.54,102.32,94.84,87.56,80.94,75.38,71.24,68.76,68.11,69.32,72.32,76.92,82.84
91.68,99.1,106.06,112.13,116.92,120.15,121.6,121.2,118.96,115.02,109.63,103.13,95.91,88.43,81.15,74.53,68.97,64.83,62.35,61.7,62.91,65.91,70.51,76.43
86.18,93.61,100.57,106.63,111.43,114.65,116.11,115.7,113.46,109.53,104.14,97.63,90.42,82.94,75.66,69.04,63.48,59.34,56.86,56.21,57.42,60.42,65.02,70.94
82.21,89.64,96.6,102.66,107.46,110.68,112.14,111.73,109.49,105.56,100.17,93.66,86.45,78.97,71.69,65.07,59.51,55.36,52.89,52.23,53.45,56.45,61.05,66.97
80.2,87.62,94.58,100.65,105.44,108.67,110.12,109.72,107.48,103.54,98.15,91.65,84.43,76.95,69.68,63.05,57.5,53.35,50.87,50.22,51.43,54.43,59.03,64.95
80.37,87.79,94.75,100.82,105.61,108.84,110.29,109.89,107.65,103.71,98.32,91.82,84.6,77.12,69.84,63.22,57.66,53.52,51.04,50.39,51.6,54.6,59.2,65.12
82.69,90.12,97.08,103.14,107.94,111.16,112.62,112.21,109.97,106.04,100.65,94.14,86.93,79.45,72.17,65.55,59.99,55.84,53.37,52.72,53.93,56.93,61.53,67.45
86.93,94.35,101.31,107.38,112.17,115.4,116.85,116.45,114.21,110.27,104.88,98.38,91.16,83.68,76.4,69.78,64.22,60.08,57.6,56.95,58.16,61.16,65.76,71.68
92.6,100.02,106.98,113.05,117.84,121.07,122.52,122.12,119.88,115.94,110.55,104.05,96.83,89.35,82.08,75.45,69.9,65.75,63.27,62.62,63.83,66.83,71.43,77.35
99.09,106.51,113.47,119.54,124.33,127.56,129.01,128.61,126.36,122.43,117.04,110.54,103.32,95.84,88.56,81.94,76.38,72.24,69.76,69.11,70.32,73.32,77.92,83.84
105.67,113.1,120.06,126.12,130.92,134.14,135.6,135.19,132.95,129.02,123.63,117.12,109.91,102.43,95.15,88.53,82.97,78.82,76.35,75.69,76.91,79.91,84.51,90.42
111.64,119.06,126.02,132.09,136.88,140.11,141.56,141.16,138.91,134.98,129.59,123.09,115.87,108.39,101.11,94.49,88.93,84.79,82.31,81.66,82.87,85.87,90.47,96.39
116.32,123.74,130.7,136.77,141.56,144.79,146.24,145.84,143.6,139.66,134.27,127.77,120.55,113.07,105.79,99.17,93.61,89.47,86.99,86.34,87.55,90.55,95.15,101.07
119.2,126.63,133.59,139.65,144.45,147.67,149.13,148.72,146.48,142.55,137.16,130.65,123.44,115.96,108.68,102.06,96.5,92.35,89.88,89.22,90.44,93.44,98.04,103.96
119.97,127.4,134.36,140.42,145.22,148.44,149.9,149.49,147.25,143.32,137.93,131.42,124.21,116.73,109.45,102.83,97.27,93.13,90.65,90.0,91.21,94.21,98.81,104.73
118.55,125.97,132.93,139.0,143.79,147.02,148.47,148.07,145.83,141.89,136.5,130.0,122.78,115.3,108.02,101.4,95.84,91.7,89.22,88.57,89.78,92.78,97.38,103.3
115.08,122.5,129.46,135.53,140.32,143.55,145.0,144.6,142.36,138.42,133.03,126.53,119.31,111.83,104.55,97.93,92.37,88.23,85.75,85.1,86.31,89.31,93.91,99.83
109.95,117.37,124.33,130.4,135.19,138.42,139.87,139.47,137.23,133.29,127.9,121.4,114.18,106.7,99.43,92.8,87.24,83.1,80.62,79.97,81.18,84.18,88.78,94.7
103.72,111.15,118.11,124.17,128.97,132.19,133.65,133.24,131.0,127.07,121.68,115.17,107.96,100.48,93.2,86.58,81.02,76.87,74.4,73.75,74.96,77.96,82.56,88.48
